,positive
2747,['rt @littlemix: 💖 happy five years of glory days 💖 https://t.co/cmmceodqso https://t.co/pcrjeej7kg']
2748,['single life= happy life']
2749,['rt @lithuaniaunny: happy #independenceday to our close allies &amp; friends in #latvia 🇱🇻 ! we are looking forward to enhancing our close coope…']
2750,"[""rt @lucasscot_101: @davidhundeyin when they go low,u go lower . i'm happy david is safe and away from nigeria.. those of us that are her…""]"
2751,"[""@dianacoco_ i'm happy for you""]"
2752,['@chippedbeak happy to help a fellow beakie out ^^']
2753,['@ioinat happy mf birthday nat have a good day']
2754,['@fnc_ent @p1h_official happy bday my boy!!']
2755,['rt @blink182: happy birthday kid 🎂 https://t.co/buqhhorjba']
2756,['rt @aleianofc: happy first monthsary aleian/aliens! 🤎🤎🤎 https://t.co/rlmargkhhh']
2757,['@donnamacbabe welcome 🙏 lovey 💕👍👊 happy evening 🥂']
2758,['rt @jinxurself_: happy birthday 🤍🤍']
2759,['rt @silkangelo: happy birthday to me🌹 https://t.co/jse05tqxph']
2760,"['rt @updateez: 🎉 worldwide giveaway 🎉 happy bday atiny! in celebration of yesterday, we decided to do a giveaway 🎁 rules: ☆ retweet ☆ fo…']"
2761,['rt @pftcommenter: happy condoleeza rice day america 🇺🇸 🇺🇸 🇺🇸']
2762,['rt @bunniizcult: happy no nut november 😚 https://t.co/ecifnynhzb']
2763,['rt @uclagymnastics: happy birthday to supermodel and all-american gymnast @chae_jada! 🤩🥳 (📷: @msayles for @essencegu) https://t.co/uowbwm9…']
2764,['@ubsarena i live right next to the arena we are not happy at all with the way your organization @ubsarena has not i… https://t.co/5z91hvov59']
2765,['rt @jpscaliforniafb: happy birthday coach sam! your legacy will carry on! keep smiling down on us from heaven! https://t.co/dze3vitd4m']
2766,"['rt @redsox: happy birthday, big papi! thankful for all the memories. especially this one. https://t.co/hvh6wl9rxl']"
2767,"[""nothing against ron but stop using kids as props i'm happy the girl fought against the mask but please stop""]"
2768,"[""rt @ivsprotocol: 📣 we're happy to announce the release of the first alpha version of x-engine, a free editor for the upcoming game, 🚀 infin…""]"
2769,"['@lesmiserably instead of feeling the unbreathable pressure of the passing of time, i like to think ""wow so happy th… https://t.co/q7wg2pmru3']"
2770,"[""rt @anushikapriya: this moment is ❤️ they're in love but i am happy they're not doing anything for audience #tejran""]"
2771,"[""rt @areezatariq: happy birthday to the queen of hearts ❤ you're the most humble girl in the world🌏❤ you're my jaan ❤ i wish you love,health…""]"
2772,['rt @concealnetwork: today we are very happy to announce our brand new #ambassador program! #conceal ambassadors will be working to bring $…']
2773,"['rt @doubledaybooks: so happy to see harlem shuffle by @colsonwhitehead, a novel ""\'as audacious, ingenious, and spellbinding as any of his p…']"
2774,['rt @submissivelexi0: happy #seductivesaturday 😘 https://t.co/k6bgyf5wsu https://t.co/8fx6jrbzr7']
2775,"['rt @linda_ezek: @bashirelrufai @davidhundeyin why are you ""loling"" are you happy your mother got vvf? the poor woman.']"
2776,['my baby is so happy and excited to perform again']
2777,['rt @liltove: happy to see some news coverage: https://t.co/rkxstd0mf6']
2778,"[""rt @thefantastician: happy birthday sonic unleashed, here's a clean run of chun-nan i did https://t.co/wisikvhqwj""]"
2779,['@beeduocafe just let them be happy you don’t have to ruin everything bro leave cloudy alone they we’re just excited about meeting them']
2780,['rt @xxlalarosexx: notice how happy you get when you literally just do you.']
2781,['@olyria_roy happy birthday 🎉🎁🎂']
2782,['so happy for you https://t.co/qzbu0ss48v']
2783,['rt @shescalledshayx: happy halloween 🎃 i was dressed as a naughty little devil 👿 this is the only video i took before i ended up completely…']
2784,"['rt @prodiigylp: happy bday to my fav ar duo 🖤 @oblivionusf miss running with you brotha, hope it’s a good one my guy 🤟🏼 https://t.co/z683…']"
2785,['@themrs805 happy friday eve lovely 🥰💕🌸🤗']
2786,['@kookdice happy birthdayyyy~ 💃💜']
2787,['@brigitteg1106 happy birthday']
2788,"['rt @cw_arrow: a true hero. happy birthday, david ramsey! #arrow https://t.co/sx7ihrtrpl']"
2789,"['@satanzexgf your indie-pop is on point, be happy about that! you can’t be right about everything. 😊']"
2790,"['rt @sonic_hedgehog: the difference is night and day. happy 13th anniversary, sonic unleashed! https://t.co/9ki5fiz7eo']"
2791,['rt @ahearncoleen: good morning twitter and happy thursday! https://t.co/htbkvowqfn']
2792,['rt @arzzielmarcena: happy 93rd birthday mickey mouse! https://t.co/bqpd4swlqo']
2793,"['rt @spikesmag: happy birthday to the 🐐, @allysonfelix! https://t.co/xixma2ayak']"
2794,['@iseeeeeelsmif_ at least someone does 🥴🤣 happy friday maam 🥳']
2795,['@21simeonwrite happy born broski🤞🏼💯']
2796,['new art work for @redrebeltarot ✍🏻❣️ happy full moon in taurus ♉️🌝!!!! #graphicdesign #artistontwitter #tarot… https://t.co/wxrfxhr3lm']
2797,['rt @cantonhsmusic: so happy to have the gms 8th graders over to the high school today to premiere clue! thanks to all those involved in mak…']
2798,"['i refuse to retweet the moe (especially when i learn about my job through social media), but i am very happy to be… https://t.co/jwdpya2sjw']"
2799,['@fnc_ent @p1h_official happy birthday seob']
2800,"['rt @marialves53: good morning twitter world, a great day to all. stay safe and be happy 🕊️☕🌅🌹🌺 lisboa🇵🇹 https://t.co/tyfa7fj9oq']"
2801,['@stwinoburyo @akatukunda_ happy birthday']
2802,['rt @pawgmilfgoddes1: happy thong thursday. who needs these panties? 😈🍑 https://t.co/45phnsblrs']
2803,"[""rt @dailyyukin: today is the birthday of the best suzumiya haruhi series' character🥰 happy birthday, yuki nagato! https://t.co/qlatc2cu25""]"
2804,['rt @martilleero: my client asks me for a happy ending 😱when he got home he described how sore he was and in the middle of the section he as…']
2805,"['we both have shiny happy first of rage. u want more fans, i want more stage. i don’t see what anyone could see in anyone else. buuut u']"
2806,['rt @shepdanellos: happy birthday @thatkrazyk9! thank you for being one of the first to welcome me to co this year :d 📸: @bluecoyote https:…']
2807,"['rt @fermilab: happy #lgbtqstemday! fermilab and our experimental collaborations are proud to support our lgbtq+ employees, users, students,…']"
2808,"[""rt @mlb: this is a big papi appreciation post. happy 46th birthday to @davidortiz! what's your favorite papi memory? https://t.co/k2wlwxdv…""]"
2809,"['rt @redsox: the man, the myth, the papi. happy birthday to the one and only david ortiz! https://t.co/qvsc18rhkf']"
2810,['rt @iamkevingates: one day you gone be happy of this i’m certain']
2811,['so happy for julius jones let’s celebrate now but it’s plenty of innocent people behind bars and deserve to be freed. #workdontstop']
2812,"['rt @truecoloursonly: 14/25 even a happy life cannot be without a measure of darkness, &amp; the word happy would lose its meaning if it were no…']"
2813,['@lexacnh0 i‘m so happy to hear you found people like that on here 🤎 sending you strength 🤎']
2814,"[""lead, listen and lean into the lyrics! it's turn it up thursday. happy gratitude week @shardeecrystal. thanks for s… https://t.co/ypbylknf17""]"
2815,['rt @pmt67: happy birthday mom 🙋\u200d♀️🙏🥰 …🥳te amamos 🎊🎉🎂💝 https://t.co/tpqvc4itvp']
2816,['@raiders happy birthday cory']
2817,['@stevencurtis happy thanksgiving and merry christmas y’all']
2818,['@mlbonfox @davidortiz happy birthday big papi!🎂🎉🎈🎁🥰❤']
2819,['@memestenemos i would be very happy to haave a chat with you!']
2820,['happy happy birthday to you sis ayan na ung request mo @feria_xela iloveyou bitch https://t.co/ugrcjvi9ye']
2821,['@albedolbs nothing im just happy to see you']
2822,['rt @mkirschenbaum: happy to say that the video of my @umdenglish bitstreams book launch event with the incomparable @amplify285 is now ava…']
2823,"[""@kevinmkruse yesss! let's go sarge! so happy to see that he's doing so much better""]"
2824,"[""@yairadon hey! i'm pro graphic designer. i can make that so please give me a chance to make your happy and satisfied with my best services.""]"
2825,"['rt @jeda_robinson: i live my whole life trynna make the people around me happy while i’m miserable ,now it’s time to put myself first']"
2826,"['rt @iseulcloud: honestly just seeing all of my favorities together makes me so happy aaaaa this arc is just bringing me so much joy, we jus…']"
2827,"[""rt @arcadekitt3n: happy birthday twyla!!🧡 i'm so proud of this piece, they're having a girls day!🎂✨ https://t.co/1ugfgrxwhg""]"
2828,['these days folks barely say happy birthday let alone send gifts. give the energy you would want in return. we all k… https://t.co/dkmlqo13ez']
2829,"['rt @redsox: happy birthday, big papi! thankful for all the memories. especially this one. https://t.co/hvh6wl9rxl']"
2830,"[""rt @thefantastician: happy birthday sonic unleashed, here's a clean run of chun-nan i did https://t.co/wisikvhqwj""]"
2831,"[""rt @_pammy_ds_: the best revenge is none. heal, move on and be happy - don't become like those who hurt you.""]"
2832,"['rt @cybrid101: happy birthday, sonic unleashed! 🌎🦔🐺 https://t.co/9ja0alxvbf']"
2833,['rt @everfight_token: we keep on moving! a fourth influencer that will join cryptowars universum as an nft character! we are happy to welc…']
2834,['rt @bizzleosikoya: happy to see this @peterpsquare @rudeboypsquare 🔥🔥🔥🔥🔥 https://t.co/y1fhstthv3']
2835,"['rt @1inthelifetime: happy anniv to up all night era its been so long i want you all back from this era, i miss you all so much #10yearsofu…']"
2836,['@fabacademic @kitkatsa @uct_news some kindness and the happy moments it brings #lovethis #specialmoments']
2837,"['i love my bff... so sweet. happy birthday 🎂 to me!! @ saint petersburg, florida https://t.co/y1ql6q1b7t']"
2838,"['rt @championsleague: great dane ✅ 1999 winner ✅ 🥳 happy birthday, peter schmeichel! @manutd | #hbd | #ucl https://t.co/ogxv1wsfvt']"
2839,"[""rt @philzartz: happy birthday/creation day for this old murderer :) i'm so lazy but i wanted to at least draw something for my favorite ma…""]"
2840,['while i’m extremely happy julius isn’t getting executed today i think it’s important to note that he’s doing life w… https://t.co/hacallbktj']
2841,"[""i'm happy to announce that after a challenging year and a half... #universeprotectors #6 has been sent to the prin… https://t.co/obdu4tgusc""]"
2842,"['rt @route_60plus: happy 82nd birthday to margaret atwood, author of “the handmaid’s tale,” a future, dystopian novel where oppressed women…']"
2843,['rt @crystalagent812: welcome to crystal studio!!! our wonderful team is happy to see everyone. follow the links and we will give you the be…']
2844,['rt @_nature_loverr: happy thursday twitter world 🌍🌿🌻 #naturephotography https://t.co/znruwyrzqo']
2845,['rt @nctsmtown_127: did our nctzens enjoy the show~~ we are so happy to be able to perform our song favorite for our fans in the states! tha…']
2846,['rt @shiviii00: it makes me so happy to hear their laugh🤗 finally they are in happy place😌🙌 #tejran #tejaswwiprakash #karankundrra']
2847,"['rt @saamder91: i hired a masseur, while i was doing it i asked him if he included the happy ending! 🔥😈🤭 she thought about it and there is t…']"
2848,['@sweet__sha @koborinx2 happy thursday sara 🥰💞']
2849,['rt @atedopeterside: happy to announce via video below that @anapfoundation has teamed up with select social influencers across the country…']
2850,['@jenpallante holy shit thats amazing im so happy for you!!! https://t.co/xb6fl7wmfj']
2851,['rt @evelgie: happy scaranniversary #原神 https://t.co/jannosijsd']
2852,['@kkulxin happy birthday!! 🥳']
2853,['rt @oraangegoddess: y’all better go wish @alondrizzle21 a happy burfday 😤🦂🦂🦂']
2854,['@itsemilykaty hello im happy i survived my first day as assistant manager and even managed phoning the it departmen… https://t.co/jczhcn7wvy']
2855,['rt @averyhairyboy: one of my favourites ☺️ happy fursday! https://t.co/glytiefdf0']
2856,['rt @cuckoldtopia_: happy married life #cuckold #hotwife #sharedwife #modernmarriage #cuckoldbbc https://t.co/frpmoc1ruo']
2857,['@k9_london happy retirement to one hard working handsome puppers. :)']
2858,['rt @mmpadellan: good morning and happy thursday to everyone who agrees congress is not a place for people who post weird murder fantasies o…']
2859,"['rt @iamaarav7: happy guru nanak jayanti 🙏🏻❤ ""before becoming a sikh, a muslim, a hindu or a christian, let\'s become a human first."" may y…']"
2860,['rt @searchwarrant1: the holidays are coming and you’re asking yourself “what can i get that will make my conservative pals really happy and…']
2861,['rt @mlbonfox: rt to wish @davidortiz a happy birthday! 🎂 https://t.co/hi8hls99ch']
2862,['rt @shirtfooty: happy birthday peter schmeichel! #mufc #greatdane #footydraws https://t.co/ah9nm5sp65']
2863,['rt @vrafaella1: be happy and enjoy your life every day! https://t.co/yyzjm5b4lq']
2864,['@szatalketh happy birthday soboyeni']
2865,"['rt @xxl: happy birthday, @myfabolouslife! 🎉 drop some fab bars ⬇️⬇️⬇️ https://t.co/fvsipu4son']"
2866,"['rt @amycaudill10: happy halloween to all my friends in twitterland! thanks as always for the mentions, likes, retweets and follows! stay s…']"
